question,answer
"已知：机壳地、信号地及电源地一般通过搭接耳片连接到接地桩或通过接地模块接地。通过接地桩的典型安装形式见图 1。具体的测试要求见 5.2 部分。
问题：机壳地、信号地及电源地通过接地桩搭接的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要5.2部分的内容
"已知：机壳地、信号地及电源地一般通过搭接耳片连接到接地桩或通过接地模块接地。通过接地模块接地的示意见图 2，通过接地模块的安装法兰与主结构的电搭接实现，具体的电搭接测试要求见 5.3 部分。
问题：机壳地、信号地及电源地通过接地模块搭接的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要5.3部分的内容
"已知：导线屏蔽层接地一般通过屏蔽焊接死接头的引线端接到连接器尾线夹、接地螺桩。其中，通过端接到连接器尾附件的典型安装如图 3 所示。该端接方式需连接器（插座）的法兰安装面与飞机主结构或电气分离面板（次级结构）进行电搭接。具体的搭接要求见 5.3“插座的搭接测试” 部分。
问题：导线屏蔽层接地搭接的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要5.3“插座的搭接测试” 部分的内容
"已知：导线屏蔽层通过端接到接地螺桩与主结构搭接的情况，如图 4 所示。具体的搭接测试要求见 5.2“接地螺桩的搭接测试”部分。
问题：导线屏蔽层接主结构搭接的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要5.2“接地螺桩的搭接测试”部分的内容
"已知：线束 EMI 屏蔽套管，一般通过 360 度屏蔽或 pigtail 的形式端接在具有导电镀层的连接器尾附件或金属导管上，典型安装如图 5 所示的电磁暴露区，具体的搭接测试要求见 5.3“插座的搭接测试”部分。
问题：线束 EMI 屏蔽套管搭接的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要5.3“插座的搭接测试” 部分的内容
"已知：线束 EMI 屏蔽套管通过 pigtail 连接搭接耳片的接地形式如图 6 所示。具体的搭接测试要求见 5.2“接地螺桩的搭接测试”部分。
问题：线束 EMI 屏蔽套管接地的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要5.2“接地螺桩的搭接测试”部分的内容
"已知：连接器的电搭接包括插座的电搭接和机架面板安装的插头的电搭接，电搭接的测试应按照CPS1330 的要求，搭接测试点见6.2部分
问题：连接器的电搭接的搭接测试点是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要6.2部分的内容
"已知：C919 飞机安装有 2 套机翼伸缩线缆装置，分别安装在左、右侧机翼，靠近小翼的翼端肋位置，左、右侧机翼对称布置，总体的布置位置见6.3。
问题：C919 飞机的总体的布置位置是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要6.3部分的内容
"已知：机翼伸缩线缆装置安装在固定前缘舱内，装置的支座连接器固定前缘的翼端肋上，一端接头连接缝翼活动面，具体安装测试要求见7.1部分
问题：机翼伸缩线缆装置安装的测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要7.1部分的内容
"已知：装置与飞机固定翼前缘结构的电搭接采用“面-面”的直接搭接方式，测试点的选取见7.2部分
问题：装置与飞机固定翼前缘结构电搭接的测试点如何选取？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要7.2部分的内容
"已知：装置与飞机缝翼活动面结构的电搭接采用“面-面”的直接搭接方式，测试点的选取见7.3部分
问题：装置与飞机缝翼活动面结构的电搭接采用什么搭接方式？测试点如何选取？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要7.3部分的内容
,
"已知：10102 架机 EWIS 电气综合设备安装图的电搭接测试要求见8.2部分
问题：10102 架机 EWIS 电气综合设备安装图的电搭接测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要8.2部分的内容
"已知：10103 架机 EWIS 电气综合设备安装图的电搭接测试要求见8.3部分
问题：10103 架机 EWIS 电气综合设备安装图的电搭接测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要8.3部分的内容
"已知：10104 架机 EWIS 电气综合设备安装图的电搭接测试要求见8.4部分
问题：10104 架机 EWIS 电气综合设备安装图的电搭接测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要8.4部分的内容
"已知：10105 架机 EWIS 电气综合设备安装图的电搭接测试要求见8.5部分
问题：10105 架机 EWIS 电气综合设备安装图的电搭接测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要8.5部分的内容
"已知：10106 架机 EWIS 电气综合设备安装图的电搭接测试要求见8.6部分
问题：10106 架机 EWIS 电气综合设备安装图的电搭接测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要8.6部分的内容
"已知：EWIS 机翼伸缩线缆装置的电搭接测试要求见8.7部分
问题：EWIS 机翼伸缩线缆装置的电搭接测试要求是什么？
请回答：根据已知内容回答问题，如果已知内容不足够回答问题，则还需要补充哪些内容？",还需要8.7部分的内容
